,date,season,decades_bin,neutral,playoff,team,team_code,elo,elo_prob,score,result
83,1920-11-07,1920,1,0,0,CBD,7,1515.204,0.4867071433301592,18,1.0
84,1920-11-07,1920,1,0,0,RCH,3,1501.719,0.8139062165368742,27,1.0
86,1920-11-07,1920,1,0,0,RII,1,1545.894,0.6744653897706056,0,0.5
87,1920-11-07,1920,1,0,0,CHI,6,1484.349,0.32553461022939445,0,0.5
88,1920-11-07,1920,1,0,0,CHT,10,1313.9379999999999,0.3224180406221354,3,0.0
89,1920-11-07,1920,1,0,0,ARI,11,1507.955,0.6775819593778646,6,1.0
90,1920-11-07,1920,1,0,0,BFF,8,1542.193,0.8542517418951552,35,1.0
93,1920-11-07,1920,1,0,0,HAM,13,1421.25,0.5802503116362212,14,1.0
95,1920-11-07,1920,1,0,0,COL,5,1394.807,0.542790790124251,10,1.0
97,1920-11-11,1920,1,0,0,CHI,6,1489.67,0.6720911304023867,20,1.0
99,1920-11-11,1920,1,0,0,RII,1,1540.5729999999999,0.7331530939910897,7,0.5
101,1920-11-14,1920,1,0,0,CHI,6,1508.566,0.6956000364531321,3,1.0
102,1920-11-14,1920,1,0,0,CBD,7,1545.558,0.8527192268204822,21,1.0
103,1920-11-14,1920,1,0,0,CHT,10,1305.494,0.14728077317951782,0,0.0
104,1920-11-14,1920,1,0,0,ARI,11,1516.399,0.845812520321243,20,1.0
106,1920-11-14,1920,1,0,0,CTI,12,1429.088,0.3699000795884208,7,0.5
107,1920-11-14,1920,1,0,0,AKR,2,1586.618,0.6300999204115791,7,0.5
108,1920-11-14,1920,1,0,0,RII,1,1533.4620000000002,0.5877488989628165,0,0.0
109,1920-11-14,1920,1,0,0,DAY,4,1536.85,0.41225110103718354,21,1.0
111,1920-11-14,1920,1,0,0,DHR,9,1460.271,0.5850459670123795,0,0.5
113,1920-11-14,1920,1,0,0,HAM,13,1426.924,0.5881840052756325,6,0.0
114,1920-11-14,1920,1,0,0,BFF,8,1551.359,0.7596607557344566,43,1.0
115,1920-11-14,1920,1,0,0,COL,5,1416.441,0.24033924426554343,7,0.0
116,1920-11-14,1920,1,0,0,RCH,3,1511.868,0.8384234232144746,0,0.0
119,1920-11-21,1920,1,0,0,COL,5,1400.53,0.5815312355190855,0,0.5
120,1920-11-21,1920,1,0,0,CHI,6,1516.489,0.7187044630080391,28,1.0
121,1920-11-21,1920,1,0,0,HAM,13,1418.5339999999999,0.28129553699196086,7,0.0
122,1920-11-21,1920,1,0,0,CTI,12,1433.056,0.7795435211924647,14,1.0
124,1920-11-21,1920,1,0,0,BFF,8,1567.27,0.6113807767668593,0,0.0
125,1920-11-21,1920,1,0,0,CBD,7,1553.555,0.3886192232331407,3,1.0
126,1920-11-21,1920,1,0,0,ARI,11,1524.675,0.8412426678993664,14,1.0
128,1920-11-21,1920,1,0,0,RCH,3,1474.362,0.7986500510782363,16,1.0
130,1920-11-21,1920,1,0,0,AKR,2,1582.65,0.6041119312780093,13,1.0
131,1920-11-21,1920,1,0,0,DAY,4,1574.2320000000002,0.39588806872199067,0,0.0
133,1920-11-25,1920,1,0,0,COL,5,1398.043,0.5474098443727984,0,0.5
134,1920-11-25,1920,1,0,0,DAY,4,1554.0120000000002,0.7168153088469423,28,1.0
135,1920-11-25,1920,1,0,0,DHR,9,1457.6770000000001,0.28318469115305767,0,0.0
137,1920-11-25,1920,1,0,0,HAM,13,1402.3429999999998,0.5535349044802589,0,0.0
138,1920-11-25,1920,1,0,0,RCH,3,1484.651,0.7814213368120926,3,0.0
140,1920-11-25,1920,1,0,0,AKR,2,1602.871,0.6357250407333228,7,1.0
141,1920-11-25,1920,1,0,0,CBD,7,1571.135,0.3642749592666772,0,0.0
