,Player,Play_Code,ActSceneLine_Code,PlayerLinenumber_Code,PlayerLine_Code,Player_Code
298,CAIUS LUCIUS,7,431,1,135,56
299,PISANIO,7,503,0,583,311
300,ARVIRAGUS,7,518,2,309,22
301,BELARIUS,7,519,8,759,37
302,IMOGEN,7,568,10,976,208
303,IMOGEN,7,555,30,16,208
304,CYMBELINE,7,579,19,609,93
305,CLOTEN,7,573,47,983,82
306,IMOGEN,7,591,11,463,208
307,CLOTEN,7,620,0,1055,82
308,GUIDERIUS,7,695,28,845,182
309,ARVIRAGUS,7,667,57,470,22
310,ARVIRAGUS,7,674,78,417,22
311,IMOGEN,7,676,104,103,208
312,IMOGEN,7,683,115,78,208
313,ARVIRAGUS,7,743,6,700,22
314,CAIUS LUCIUS,7,870,4,125,56
315,POSTHUMUS LEONATUS,7,934,11,891,318
316,First Brother,7,950,10,735,147
317,First Gaoler,7,941,25,1001,150
318,CORNELIUS,7,962,15,506,88
319,CYMBELINE,7,952,39,492,93
320,POSTHUMUS LEONATUS,7,954,54,687,318
321,GUIDERIUS,7,955,86,49,182
322,IMOGEN,7,958,107,538,208
323,Soothsayer,7,961,121,268,382
324,HORATIO,8,54,38,665,200
325,MARCELLUS,8,22,54,796,260
326,KING CLAUDIUS,8,113,7,165,220
327,HAMLET,8,79,21,354,188
328,HAMLET,8,93,77,467,188
329,LORD POLONIUS,8,162,7,252,245
330,HAMLET,8,178,8,215,188
331,Ghost,8,191,13,169,187
332,HORATIO,8,187,31,545,200
333,LORD POLONIUS,8,217,4,110,245
334,LORD POLONIUS,8,206,34,909,245
335,VOLTIMAND,8,305,16,786,409
336,LORD POLONIUS,8,276,31,926,245
337,HAMLET,8,285,81,1028,188
338,ROSENCRANTZ,8,291,108,999,345
339,HAMLET,8,294,125,148,188
340,HAMLET,8,298,133,565,188
341,KING CLAUDIUS,8,428,12,833,220
342,HAMLET,8,400,34,1089,188
343,HAMLET,8,483,2,1030,188
344,HAMLET,8,456,36,548,188
345,Player Queen,8,476,61,664,324
346,GUILDENSTERN,8,485,103,523,183
347,GUILDENSTERN,8,517,1,791,183
348,KING CLAUDIUS,8,517,9,230,220
349,HAMLET,8,569,27,643,188
350,HAMLET,8,555,49,403,188
351,HAMLET,8,675,3,851,188
352,KING CLAUDIUS,8,727,26,93,220
353,Gentleman,8,765,3,896,185
354,KING CLAUDIUS,8,763,25,847,220
355,OPHELIA,8,769,57,970,295
356,KING CLAUDIUS,8,794,2,911,220
357,KING CLAUDIUS,8,791,24,555,220
358,KING CLAUDIUS,8,791,39,622,220
359,First Clown,8,858,34,262,149
360,HAMLET,8,818,75,996,188
361,HAMLET,8,832,102,797,188
362,HAMLET,8,898,16,763,188
363,HAMLET,8,872,56,344,188
364,HAMLET,8,878,88,750,188
365,HORATIO,8,886,121,530,200
366,Chorus,10,3,0,906,96
367,CANTERBURY,10,60,14,678,60
368,CANTERBURY,10,115,7,773,60
369,EXETER,10,81,19,645,133
370,KING HENRY V,10,94,27,775,223
371,BARDOLPH,10,205,4,402,32
372,NYM,10,203,37,394,286
373,KING HENRY V,10,306,25,276,223
374,KING HENRY V,10,306,30,241,223
375,DAUPHIN,10,353,1,111,102
376,KING OF FRANCE,10,346,12,808,229
377,KING HENRY V,10,417,0,132,223
378,FLUELLEN,10,511,19,294,140
379,KING HENRY V,10,538,0,116,223
380,Constable,10,576,4,633,99
381,PISTOL,10,589,12,663,312
382,KING HENRY V,10,586,36,818,223
383,DAUPHIN,10,597,32,694,102
384,Chorus,10,600,0,657,96
385,PISTOL,10,641,28,519,312
386,KING HENRY V,10,615,54,1069,223
387,KING HENRY V,10,624,74,719,223
388,GRANDPRE,10,680,11,79,179
389,KING HENRY V,10,730,11,40,223
390,Boy,10,746,18,1050,54
391,EXETER,10,785,3,723,133
392,KING HENRY V,10,798,17,398,223
393,KING HENRY V,10,793,52,292,223
394,KING HENRY V,10,801,31,301,223
395,FLUELLEN,10,801,1,229,140
396,QUEEN ISABEL,10,875,4,943,332
397,KING HENRY V,10,863,25,724,223
398,KING HENRY V,10,876,39,553,223
399,FRENCH KING,10,885,66,937,143
400,Chorus,14,4,82,109,96
401,ABERGAVENNY,14,65,16,461,1
402,BUCKINGHAM,14,26,39,441,51
403,QUEEN KATHARINE,14,82,3,576,333
404,CARDINAL WOLSEY,14,71,15,577,65
405,Surveyor,14,86,35,139,383
406,Chamberlain,14,158,18,793,95
407,CARDINAL WOLSEY,14,181,26,297,65
