,Player,Play_Code,ActSceneLine_Code,PlayerLinenumber_Code,PlayerLine_Code,Player_Code
844,KING RICHARD III,26,747,90,628,232
845,RATCLIFF,26,750,122,814,336
846,Fourth Messenger,26,753,135,6,167
847,RICHMOND,26,875,4,39,339
848,RICHMOND,26,931,32,676,339
849,of young Princes,26,912,43,475,415
850,RICHMOND,26,921,60,618,339
851,KING RICHARD III,26,924,73,67,232
852,SAMPSON,27,7,0,304,349
853,PRINCE,27,63,50,272,319
854,ROMEO,27,25,77,140,342
855,Servant,27,103,5,1048,378
856,Nurse,27,150,10,574,287
857,ROMEO,27,171,6,801,342
858,BENVOLIO,27,167,27,666,39
859,TYBALT,27,194,24,493,396
860,MERCUTIO,27,217,4,960,274
861,JULIET,27,303,11,342,216
862,JULIET,27,275,39,21,216
863,ROMEO,27,334,7,881,342
864,MERCUTIO,27,362,16,726,274
865,Nurse,27,349,69,629,287
866,JULIET,27,374,6,341,216
867,MERCUTIO,27,441,1,1085,274
868,MERCUTIO,27,393,35,984,274
869,PRINCE,27,410,59,427,319
870,JULIET,27,513,14,828,216
871,ROMEO,27,535,9,153,342
872,FRIAR LAURENCE,27,522,31,897,145
873,JULIET,27,578,0,142,216
874,JULIET,27,570,33,489,216
875,CAPULET,27,574,56,481,61
876,PARIS,27,633,20,765,303
877,Second Servant,27,678,1,990,376
878,JULIET,27,720,4,652,216
879,CAPULET,27,773,14,256,61
880,PETER,27,766,45,981,309
881,ROMEO,27,856,14,393,342
882,PARIS,27,929,8,802,303
883,BALTHASAR,27,910,26,363,29
884,PRINCE,27,916,52,1083,319
885,SLY,28,0,2,1070,362
886,Lord,28,1,26,948,254
887,Second Servant,28,2,11,237,376
888,LUCENTIO,28,41,0,352,247
889,BAPTISTA,28,9,20,81,31
890,TRANIO,28,29,49,52,393
891,GRUMIO,28,96,12,1086,181
892,HORTENSIO,28,74,28,838,201
893,TRANIO,28,88,65,65,393
894,BAPTISTA,28,244,12,829,31
895,PETRUCHIO,28,213,36,914,310
896,PETRUCHIO,28,231,73,397,310
897,BAPTISTA,28,242,106,377,31
898,TRANIO,28,242,123,26,393
899,HORTENSIO,28,449,30,340,201
900,PETRUCHIO,28,516,32,105,310
901,PETRUCHIO,28,472,56,382,310
902,GRUMIO,28,626,8,1006,181
903,GRUMIO,28,607,51,941,181
904,LUCENTIO,28,693,4,390,247
905,TRANIO,28,657,43,319,393
906,PETRUCHIO,28,729,24,122,310
907,HORTENSIO,28,729,70,250,201
908,BAPTISTA,28,758,14,486,31
909,PETRUCHIO,28,775,17,894,310
910,VINCENTIO,28,845,30,1020,407
911,PETRUCHIO,28,867,3,600,310
912,HORTENSIO,28,861,62,376,201
913,LUCENTIO,28,861,91,240,247
914,MIRANDA,29,80,2,567,275
915,PROSPERO,29,70,23,900,322
916,PROSPERO,29,86,41,754,322
917,PROSPERO,29,95,69,782,322
918,CALIBAN,29,100,91,558,57
919,PROSPERO,29,106,104,859,322
920,PROSPERO,29,110,120,189,322
921,ANTONIO,29,261,66,566,16
922,GONZALO,29,226,103,1034,177
923,ANTONIO,29,236,122,11,16
924,TRINCULO,29,278,1,336,394
925,TRINCULO,29,266,17,1077,394
926,MIRANDA,29,412,1,8,275
927,STEPHANO,29,473,0,1088,366
928,CALIBAN,29,452,40,167,57
929,GONZALO,29,539,11,495,177
930,PROSPERO,29,635,0,591,322
931,CERES,29,648,18,370,72
932,ARIEL,29,619,40,266,20
933,PROSPERO,29,629,74,257,322
934,PROSPERO,29,629,8,28,322
935,MIRANDA,29,816,27,672,275
936,PROSPERO,29,833,53,187,322
937,PROSPERO,29,840,77,892,322
938,Poet,30,64,32,525,325
939,TIMON,30,25,68,92,389
940,TIMON,30,39,119,430,389
941,APEMANTUS,30,112,14,428,18
942,All Ladies,30,112,40,242,27
943,APEMANTUS,30,91,76,764,18
944,TIMON,30,289,13,451,389
945,Fool,30,268,55,362,165
946,FLAVIUS,30,281,79,660,138
947,FLAMINIUS,30,437,14,364,137
948,First Stranger,30,514,23,83,163
949,First Servant,30,564,15,962,161
950,FLAVIUS,30,553,53,738,138
951,ALCIBIADES,30,583,17,507,10
952,TIMON,30,590,40,1073,389
953,TIMON,30,633,0,729,389
954,FLAVIUS,30,715,6,917,138
955,TIMON,30,699,34,905,389
956,APEMANTUS,30,706,56,177,18
957,TIMON,30,714,86,930,389
958,APEMANTUS,30,719,114,928,18
959,TIMON,30,724,130,1031,389
960,TIMON,30,839,11,1047,389
961,Second Senator,30,807,45,691,375
962,TIMON,30,822,69,282,389
963,Second Senator,30,944,4,890,375
964,MARCUS ANDRONICUS,31,43,2,677,262
965,TITUS ANDRONICUS,31,14,12,805,391
966,TITUS ANDRONICUS,31,34,32,918,391
967,SATURNINUS,31,44,59,154,350
968,TITUS ANDRONICUS,31,49,90,255,391
969,SATURNINUS,31,49,106,25,350
970,DEMETRIUS,31,261,18,734,103
971,TAMORA,31,313,1,727,385
972,TAMORA,31,312,14,464,385
973,QUINTUS,31,324,44,23,335
974,TITUS ANDRONICUS,31,329,73,277,391
975,TITUS ANDRONICUS,31,329,0,227,391
976,TITUS ANDRONICUS,31,399,19,285,391
977,TITUS ANDRONICUS,31,414,42,594,391
978,TITUS ANDRONICUS,31,494,0,496,391
979,TITUS ANDRONICUS,31,606,5,33,391
980,Young LUCIUS,31,602,25,392,414
981,Nurse,31,690,27,12,287
982,AARON,31,665,57,73,0
983,MARCUS ANDRONICUS,31,730,11,688,262
984,Clown,31,751,6,346,98
985,Second Goth,31,824,4,374,371
986,First Goth,31,804,23,866,152
987,TITUS ANDRONICUS,31,892,9,89,391
988,TITUS ANDRONICUS,31,869,27,18,391
989,TITUS ANDRONICUS,31,920,9,836,391
990,MARCUS ANDRONICUS,31,920,30,605,262
991,LUCIUS,32,6,42,612,249
992,PANDARUS,32,59,21,1003,302
993,CRESSIDA,32,107,21,326,92
994,PANDARUS,32,77,87,995,302
995,CRESSIDA,32,90,115,128,92
996,ULYSSES,32,157,2,32,403
997,ULYSSES,32,132,7,770,403
998,AGAMEMNON,32,143,25,864,7
999,NESTOR,32,149,45,570,284
1000,THERSITES,32,248,25,1059,386
1001,HECTOR,32,269,1,505,190
1002,CASSANDRA,32,265,16,17,67
1003,TROILUS,32,280,23,656,395
1004,ULYSSES,32,341,28,834,403
1005,AGAMEMNON,32,320,59,466,7
1006,PANDARUS,32,438,4,949,302
1007,PANDARUS,32,395,67,433,302
1008,PANDARUS,32,497,10,188,302
1009,CRESSIDA,32,462,43,368,92
1010,AGAMEMNON,32,534,3,54,7
1011,ULYSSES,32,521,28,730,403
1012,PATROCLUS,32,531,35,804,305
1013,THERSITES,32,531,72,623,386
1014,TROILUS,32,658,6,557,395
1015,CRESSIDA,32,656,46,531,92
1016,TROILUS,32,758,22,261,395
1017,AGAMEMNON,32,770,0,95,7
1018,AENEAS,32,778,47,434,6
1019,MENELAUS,32,768,74,468,272
1020,HECTOR,32,772,100,832,190
1021,THERSITES,32,849,19,975,386
1022,TROILUS,32,891,38,404,395
1023,TROILUS,32,868,94,196,395
1024,CASSANDRA,32,913,10,743,67
1025,PANDARUS,32,903,46,24,302
1026,ULYSSES,32,956,4,57,403
1027,HECTOR,32,972,0,617,190
1028,PANDARUS,32,860,8,771,302
1029,Captain,33,104,17,542,94
1030,SIR ANDREW,33,160,42,1063,357
1031,VIOLA,33,180,13,903,408
1032,OLIVIA,33,193,40,283,294
1033,OLIVIA,33,188,82,1095,294
1034,OLIVIA,33,189,108,922,294
1035,VIOLA,33,286,5,270,408
1036,MALVOLIO,33,342,37,518,259
1037,SIR TOBY BELCH,33,322,83,1080,360
1038,VIOLA,33,370,29,661,408
1039,MALVOLIO,33,376,28,635,259
1040,MALVOLIO,33,372,67,973,259
1041,VIOLA,33,434,22,936,408
1042,VIOLA,33,403,62,409,408
1043,MARIA,33,510,26,978,264
1044,MALVOLIO,33,561,14,121,259
1045,SIR TOBY BELCH,33,552,62,1078,360
1046,SIR TOBY BELCH,33,557,96,993,360
1047,First Officer,33,560,118,675,158
1048,SIR TOBY BELCH,33,623,9,339,360
1049,MALVOLIO,33,686,24,647,259
1050,OLIVIA,33,708,1,445,294
1051,ANTONIO,33,854,28,217,16
1052,OLIVIA,33,814,62,862,294
1053,VIOLA,33,829,94,698,408
1054,FABIAN,33,837,113,822,134
1055,VALENTINE,34,51,16,448,405
1056,PROTEUS,34,18,65,616,323
1057,JULIA,34,121,56,950,215
1058,ANTONIO,34,154,10,295,16
1059,VALENTINE,34,248,23,214,405
1060,VALENTINE,34,215,83,536,405
1061,LAUNCE,34,333,8,439,237
1062,SILVIA,34,367,47,143,354
1063,VALENTINE,34,350,91,921,405
1064,PROTEUS,34,384,0,118,323
1065,JULIA,34,389,18,526,215
1066,VALENTINE,34,440,11,144,405
1067,DUKE,34,406,34,478,117
1068,LAUNCE,34,420,68,353,237
1069,SPEED,34,427,115,857,365
1070,PROTEUS,34,512,24,827,323
1071,PROTEUS,34,668,0,77,323
1072,SILVIA,34,696,46,692,354
1073,SILVIA,34,722,11,299,354
1074,JULIA,34,762,20,36,215
1075,JULIA,34,740,46,332,215
1076,PROTEUS,34,740,34,246,323
1077,VALENTINE,34,949,17,1,405
1078,DUKE,34,942,50,849,117
1079,LEONTES,2,101,11,837,241
1080,LEONTES,2,75,33,107,241
1081,LEONTES,2,89,48,929,241
1082,LEONTES,2,97,70,569,241
1083,POLIXENES,2,102,89,15,315
1084,POLIXENES,2,108,104,756,315
1085,LEONTES,2,260,30,826,241
1086,First Lord,2,225,49,787,155
1087,PAULINA,2,296,12,193,306
1088,PAULINA,2,337,15,322,306
1089,PAULINA,2,319,40,10,306
1090,DION,2,431,1,395,107
1091,HERMIONE,2,509,8,238,196
1092,LEONTES,2,469,32,97,241
1093,LEONTES,2,469,41,240,241
1094,Clown,2,548,12,1018,98
1095,POLIXENES,2,662,2,1032,315
1096,Clown,2,725,7,34,98
1097,PERDITA,2,742,3,350,307
1098,PERDITA,2,736,18,204,307
1099,Clown,2,741,38,1024,98
1100,AUTOLYCUS,2,745,76,1045,26
1101,FLORIZEL,2,749,99,593,139
1102,Shepherd,2,752,118,780,380
1103,CAMILLO,2,756,127,315,58
1104,AUTOLYCUS,2,756,132,179,26
1105,Clown,2,759,139,1000,98
1106,Clown,2,761,141,980,98
1107,LEONTES,2,846,8,899,241
1108,LEONTES,2,811,35,194,241
1109,LEONTES,2,826,54,916,241
1110,Third Gentleman,2,896,11,933,399
1111,AUTOLYCUS,2,871,36,406,26
1112,LEONTES,2,933,21,213,241
